Location,Household Total,Median,Mean
"Monroe County, New York",299224.0,54492.0,74700.0
"Nassau County, New York",440785.0,105870.0,139034.0
"New York County, New York",748293.0,77559.0,143741.0
"Niagara County, New York",86786.0,50233.0,65869.0
"Oneida County, New York",87929.0,52996.0,68695.0
"Onondaga County, New York",182984.0,56991.0,76174.0
"Ontario County, New York",45187.0,57448.0,78032.0
"Orange County, New York",124365.0,73025.0,91061.0
"Oswego County, New York",44633.0,53562.0,65090.0
"Putnam County, New York",34762.0,96992.0,122979.0
"Queens County, New York",761819.0,62207.0,81379.0
"Rensselaer County, New York",62816.0,65965.0,80856.0
"Richmond County, New York",164289.0,77197.0,95481.0
"Rockland County, New York",99257.0,85515.0,116116.0
"St. Lawrence County, New York",40479.0,51592.0,64088.0
"Saratoga County, New York",93703.0,76097.0,99966.0
"Schenectady County, New York",48720.0,58331.0,75564.0
"Steuben County, New York",38458.0,50575.0,69894.0
"Suffolk County, New York",474311.0,92933.0,118609.0
"Sullivan County, New York",25031.0,50652.0,76471.0
"Tompkins County, New York",37683.0,56349.0,73644.0
"Ulster County, New York",68298.0,62790.0,82176.0
"Warren County, New York",28841.0,58061.0,75717.0
"Wayne County, New York",37496.0,59538.0,70422.0
"Westchester County, New York",342216.0,89709.0,141104.0
"Alamance County, North Carolina",64369.0,45100.0,60609.0
"Brunswick County, North Carolina",54331.0,50692.0,66132.0
"Buncombe County, North Carolina",103127.0,50685.0,68923.0
"Burke County, North Carolina",35211.0,40345.0,51815.0
"Cabarrus County, North Carolina",70438.0,63386.0,78726.0
"Caldwell County, North Carolina",32911.0,36301.0,50001.0
"Carteret County, North Carolina",27506.0,51206.0,64471.0
"Catawba County, North Carolina",61618.0,48913.0,65599.0
"Chatham County, North Carolina",28568.0,62961.0,94054.0
"Cleveland County, North Carolina",36405.0,36992.0,50519.0
"Craven County, North Carolina",40297.0,49938.0,67148.0
"Cumberland County, North Carolina",124014.0,45205.0,57267.0
"Davidson County, North Carolina",62695.0,45678.0,59441.0
"Durham County, North Carolina",123697.0,53832.0,77836.0
"Forsyth County, North Carolina",146219.0,48271.0,73006.0
"Gaston County, North Carolina",82982.0,48711.0,69661.0
"Guilford County, North Carolina",201520.0,47262.0,69367.0
"Harnett County, North Carolina",43960.0,51637.0,62276.0
"Henderson County, North Carolina",47791.0,54963.0,68263.0
"Iredell County, North Carolina",65037.0,55891.0,79750.0
"Johnston County, North Carolina",66254.0,54719.0,65036.0
"Lincoln County, North Carolina",31588.0,49453.0,67290.0
"Mecklenburg County, North Carolina",399504.0,62978.0,89684.0
"Moore County, North Carolina",38786.0,52279.0,72904.0
"Nash County, North Carolina",35409.0,47902.0,64941.0
"New Hanover County, North Carolina",92808.0,50028.0,70803.0
"Onslow County, North Carolina",61766.0,47150.0,56900.0
"Orange County, North Carolina",50203.0,66423.0,94564.0
"Pitt County, North Carolina",70019.0,46573.0,62944.0
"Randolph County, North Carolina",56793.0,44836.0,55496.0
"Robeson County, North Carolina",45123.0,34254.0,47961.0
"Rockingham County, North Carolina",38163.0,40985.0,50217.0
"Rowan County, North Carolina",50138.0,48379.0,62377.0
"Rutherford County, North Carolina",26982.0,36121.0,46400.0
"Surry County, North Carolina",28261.0,36802.0,59268.0
"Union County, North Carolina",74763.0,71588.0,98685.0
"Wake County, North Carolina",387771.0,76097.0,100576.0
"Wayne County, North Carolina",47240.0,41711.0,58296.0
"Wilkes County, North Carolina",28771.0,41332.0,51346.0
"Wilson County, North Carolina",30897.0,39036.0,60107.0
"Orangeburg County, South Carolina",33449.0,32450.0,46106.0
"Pickens County, South Carolina",47303.0,45779.0,64839.0
"Richland County, South Carolina",153376.0,52030.0,71025.0
"Spartanburg County, South Carolina",113463.0,47371.0,63453.0
"Sumter County, South Carolina",41439.0,40614.0,56274.0
"York County, South Carolina",98128.0,60767.0,79926.0
"Minnehaha County, South Dakota",73808.0,60038.0,75126.0
"Pennington County, South Dakota",42956.0,50950.0,67638.0
"Anderson County, Tennessee",31209.0,46055.0,61601.0
"Blount County, Tennessee",49672.0,51183.0,66674.0
"Bradley County, Tennessee",40710.0,44853.0,59809.0
"Davidson County, Tennessee",281967.0,54855.0,78234.0
"Greene County, Tennessee",25418.0,41109.0,60485.0
"Hamilton County, Tennessee",139615.0,47898.0,71471.0
"Knox County, Tennessee",183889.0,52102.0,72285.0
"Madison County, Tennessee",37322.0,41791.0,58283.0
"Maury County, Tennessee",33667.0,50591.0,64296.0
"Montgomery County, Tennessee",69427.0,56112.0,65397.0
"Putnam County, Tennessee",31343.0,37437.0,56080.0
"Robertson County, Tennessee",25302.0,60423.0,74977.0
